Temperature,Dissolved Oxygen,pH,Bio-Chemical Oxygen Demand (mg/L),Nitrate (mg/ L),Faecal Coliform (MPN/ 100 mL),Total Coliform (MPN/ 100 mL),Conductivity (mho/ Cm),WQI,Potability
9.5,48.25,6.7,1.2,0.034,,,70,67.70420359,C
8.5,46.9,6.8,1.2,0.044,,,76,67.47119897,C
8.3,48.7,6.7,1.2,0.04,,,71,67.7585564,C
8.6,46.95,6.8,1.2,0.04,,,72,67.58056684,C
12.8,47.55,7.1,1.2,0.04,,,71,83.56938721,D
7.2,57.66,6.61,1.2,0.008,,,356,85.47851372,D
8.7,58.45,6.9,2.9,0,,,356,85.6116751,D
11.9,56.04,5.84,1.35,0.047,,,356,88.18329411,D
10.5,56.36,6.57,1.2,0.008,,,356,96.13586155,D
8.2,58.65,6.9,1,0.025,,,356,90.56220161,D
6.4,56.285,7.33,1,0,,,356,99.77229749,D
11.3,56.3,6.46,0.8,0,,,356,96.3158363,D
10.7,54.87,7.14,1.3,0.002,,,356,90.5981306,D
12.3,55.25,6.97,1.2,0.017,,,356,84.70678133,D
14.1,54.4,7.21,1.9,0.011,,,356,84.49729569,D
10.6,54.575,6.66,2.8,0.016,,,356,88.2268639,D
10.3,54.87,6.6,0.9,0,,,356,90.4735029,D
5.2,54.285,6.87,1.3,0,,,356,88.90916151,D
10.1,55.155,7.43,1,0.004,,,356,94.05931167,D
13.6,54.075,6.99,0.8,0.008,,,356,81.15579425,D
11.4,54.51,6.56,1,0.002,,,356,94.14840129,D
5.4,55.705,6.87,1.3,0.004,,,356,92.55725402,D
10.2,55.14,6.91,0.7,0.004,,,356,99.66517265,D
8,55.36,6.58,1.6,0.008,,,356,83.1521348,D
6,56.2,6.68,1.3,0.008,,,356,97.77857999,D
4.8,53.7,6.67,1.4,0.01,,,356,95.85603403,D
9.2,54.815,6.89,0.7,0.017,,,356,97.59695064,D
12.6,55.115,7.14,0.4,0.013,,,356,97.43483469,D
11.4,53.45,7.05,1.2,0.004,,,356,88.3993398,D
10.9,55.965,6.83,0.8,0.009,,,356,92.26404141,D
9,56.31,6.76,0.7,0.006,,,356,97.88857183,D
7.9,55.855,6.71,0.6,0.006,,,356,88.82749074,D
8.5,53.345,6.27,0.6,0.007,,,356,97.66243713,D
13.6,54.1,6.45,0.3,0.019,,,356,93.86098411,D
10.5,55.65,6.17,0.6,0.01,,,356,92.52048087,D
5.6,54.6,6.52,0.5,0.005,,,356,94.24767716,D
7.4,53.61,6.49,0.4,0.014,,,356,92.20361632,D
7.4,56.355,7.25,0.5,0.016,,,356,92.24339644,D
11.8,54,6.18,1.3,0.017,,,356,97.21951892,D
9.2,55.18,6.13,0.58,0.004,,,356,97.90851425,D
7.3,56.15,6.09,0.38,0.006,,,356,90.95419462,D
7,54.505,6.23,0.38,0.024,,,356,95.91205951,D
9.3,51.83,6.22,0.6,0.008,,,356,95.50437384,D
11.8,51.5,6.18,0.4,0.005,,,356,94.08326582,D
8.6,54.395,6.04,0.6,0.014,,,356,95.73819476,D
6.7,55.275,6.34,0.7,0.004,,,356,95.68623376,D
4.9,56.145,6.36,0.8,0.008,,,356,97.89094932,D
6.1,55.42,6.26,0.6,0.004,,,356,92.51698631,D
10.7,55.385,6.16,0.6,0.009,,,356,95.97614994,D
7.3,54.8,6.5,1.2,0.033,,,83,68.70664366,C
9,54.6,6.4,1.2,0.033,,,81,68.78550167,C
9.9,56.75,6.8,1.2,0.033,,,85,68.79057755,C
11.7,55.45,6.7,1.2,0.033,,,79,68.74335967,C
13.2,54.15,6.4,1.2,0.033,,,68,67.963905,C
6.9,54.95,7,1.2,0.033,,,82,68.70365368,C
8.8,60.8,6.8,1.2,0.033,,,82,69.2120604,C
10.1,57.3,7.1,1.2,0.033,,,86,31.39342399,B
12.5,55.3,7.1,1.2,0.024,,,82,68.79311958,C
13.3,55.75,7,1.2,0.033,,,73,68.42155338,C
4.8,57.55,7,1.2,0.033,,,77,68.64630352,C
5.1,58.6,7,1.2,0.033,,,94,69.02401693,C
9.3,57.4,6.9,1.2,0.033,,,81,68.83852196,C
14.7,60.6,7.2,1.2,0.033,,,152,69.18030302,C
7.3,58.3,6.9,1.2,0.033,,,93,97.39992417,D
6,57.35,6.9,1.2,0.033,,,87,68.86990087,C
5.5,57.4,7,1.2,0.033,,,86,68.73275792,C
7.9,59.8,6.9,1.2,0.033,,,82,69.08707978,C
11.5,59.9,7,1.5,0.033,,,89,69.08295167,C
9.2,56.85,6.9,1.2,0.033,,,84,68.65802338,C
5.4,59.65,6.9,1.2,0.033,,,85,69.09891437,C
9,56.9,7.1,1.2,0.033,,,92,68.81358172,C
8.5,57.5,7.1,1.2,0.033,,,83,68.79885798,C
7.7,56.5,7,1.2,0.033,,,76,68.70075069,C
6,59.05,7,1.2,0.033,,,84,68.9946586,C
5.6,59.65,7.1,1.2,0.033,,,85,69.0714612,C
9.8,57.9,7.2,1.2,0.033,,,86,68.77907491,C
9.4,57.95,7.2,1.2,0.033,,,80,68.91785567,C
9.2,57.9,7.1,1.2,0.043,,,80,68.77657472,C
8.8,58.05,7,1.2,0.033,,,84,68.63916899,C
9.1,58,7.1,1.2,0.033,,,84,68.82893526,C
12.4,56.45,7.1,1.2,0.033,,,86,68.82991269,C
11.7,57.6,7,1.2,0.033,,,73,68.94744161,C
8.1,56.5,6.9,1.2,0.033,,,78,68.79695952,C
9.7,56.25,6.9,1.2,0.033,,,73,68.73056892,C
8.2,55.2,5.67,1.2,0.023,,,356,95.0545051,D
5.6,57.2,6.26,1.4,0.018,,,356,86.26857505,D
9.3,56.8,6.85,1.2,0.009,,,356,92.1477679,D
13.1,56.2,6.24,0.99,0.046,,,356,72.87042133,C
15,52.3,6.31,0.6,0,,,356,93.44716953,D
11.2,57.7,6.32,0.9,0.009,,,356,84.35747321,D
6.2,57.65,6.32,1.9,0.026,,,356,80.77398863,D
6.9,56.65,6.37,1,0.032,,,356,73.13839869,C
5.9,57.35,6.3,1.6,0.033,,,356,91.46007486,D
6.1,56.6,6.63,1.4,0.005,,,356,97.36991069,D
12.3,56.4,6.71,0.7,0,,,356,99.40640461,D
13.9,55.315,7.09,1,0.006,,,356,90.25173976,D
12.7,56.25,5.84,1.7,0.017,,,356,93.29585277,D
14.3,57.2,6.5,1,0.023,,,356,82.24161579,D
15.5,56,6.34,1.1,0.005,,,356,87.2277008,D
10.3,57.8,6.34,1.2,0.027,,,356,82.13084992,D
4.4,57.85,6.46,1.7,0.016,,,356,91.55353665,D
7.4,59.015,6.47,1,0.01,,,356,93.68264358,D
10.7,56.71,6.6,0.7,0,,,356,96.16311334,D
13.8,55.7,6.17,0.8,0.001,,,356,88.15719184,D
11,57.8,6.27,0.8,0.004,,,356,88.26474491,D
1.8,58.65,6.42,1.9,0.017,,,356,94.11327352,D
8.5,56.35,6.89,1.4,0.003,,,356,97.72383514,D
15,54.35,6.4,1.1,0.046,,,356,95.55048702,D
14.2,56.75,5.98,1.1,0,,,356,93.52999821,D
2.4,57.5,6.06,1.6,0.021,,,356,90.00895184,D
4.1,57.7,6.23,1.3,0.011,,,356,93.86557794,D
11.5,56.6,6.43,0.7,0.008,,,356,95.81813396,D
14.7,55.5,6.78,0.9,0.031,,,356,95.07051844,D
12.4,53.5,6.11,2.4,0.015,,,356,88.33081143,D
9.2,56.75,6.31,1.1,0.014,,,356,82.39805644,D
6.9,56.1,6.28,0.6,0.011,,,356,91.68583475,D
8.2,55.55,6.33,0.8,0.007,,,356,91.80488073,D
9.9,56.9,6.33,0.6,0.008,,,356,99.32722982,D
14.5,55.25,6.05,1.2,0.008,,,356,92.4618029,D
11.6,55.05,6,0.6,0.016,,,356,84.86368849,D
7.1,56.65,5.43,0.5,0.036,,,356,89.44336941,D
5.3,57.4,5.6,0.4,0.02,,,356,93.78293509,D
4.4,57.6,5.82,1.2,0.021,,,356,86.24605009,D
4.5,57.1,5.86,0.8,0.019,,,356,84.4376207,D
8.4,56.3,6.12,0.7,0.011,,,356,99.05271099,D
8.3,56.3,6.15,0.6,0.01,,,356,99.09868924,D
17.2,56.37,6.57,0.6,0.014,,,356,90.33903366,D
17.2,55.47,6.53,0.8,0.012,,,356,84.98078783,D
11.5,56.95,5.88,0.91,0,,,356,90.12181884,D
11.4,55.91,6.05,0.99,0,,,356,81.12411473,D
6.3,56.1,6.21,0.7,0.01,,,356,90.00096195,D
6.3,56.6,6.2,0.7,0.024,,,356,84.48942651,D
5.7,56.775,5.86,0.4,0.012,,,356,88.70725056,D
5.7,56.5,5.92,0.3,0.013,,,356,86.76832724,D
5.3,58.135,5.72,0.43,0.008,,,356,85.22585623,D
5.3,58.635,5.83,0.44,0.014,,,356,88.65995755,D
9.8,54.105,5.93,0.6,0.002,,,356,95.51907677,D
9.9,56.02,6.04,0.6,0.012,,,356,93.7017943,D
13.6,54.05,5.74,0.9,0.018,,,356,63.14950372,C
13.3,53.55,5.65,1,0.012,,,356,70.37312866,C
13.4,56.44,5.62,0.8,0.009,,,356,93.45150439,D
13.4,56.04,5.72,0.6,0.017,,,356,89.77965353,D
8.4,55.45,5.78,1,0.015,,,356,96.80664153,D
8.5,56.35,6.06,0.8,0.016,,,356,96.78283387,D
4.8,56.615,5.57,0.7,0.01,,,356,88.13520768,D
4.8,56.575,5.69,0.7,0.015,,,356,89.81162747,D
4.6,57.185,6.01,0.7,0.007,,,356,95.4846121,D
4.7,56.735,5.99,0.6,0.011,,,356,97.19713161,D
8,57.4,5.68,0.9,0.003,,,356,91.82033353,D
8.2,57.35,5.77,0.9,0.005,,,356,88.16630542,D
14.6,56.6,5.88,1.4,0.012,,,356,89.4634914,D
14.6,56.05,5.85,1.7,0.029,,,356,87.32655702,D
10.9,56.55,6.69,0.7,0.002,,,356,94.897113,D
11,56.55,6.73,0.8,0.011,,,356,94.76579471,D
9.8,57.94,5.77,1.4,0.019,,,356,83.56254926,D
5.9,58.45,5.8,1.2,0.033,,,44,68.40238844,C
5.2,57.45,6,1.2,0.033,,,50,68.51467287,C
9.7,55.7,6.4,1.2,0.025,,,55,68.3753401,C
13.4,55.15,6.5,1.2,0.033,,,48,68.02005741,C
14.3,55.7,6.2,1.2,0.033,,,40,67.41941404,C
5.2,57,6.4,1.2,0.028,,,52,68.23414002,C
7.2,59.95,6.6,1.2,0.033,,,62,68.63334808,C
10.3,57.3,6.9,1.2,0.065,,,69,67.96906089,C
14.8,55.05,6.6,1.2,0.033,,,47,67.869247,C
14.8,55.6,6.4,1.2,0.033,,,48,67.59602358,C
3.8,56.65,6.8,1.2,0.022,,,61,68.42664371,C
3.9,62.2,6.7,1.2,0.033,,,79,69.01850107,C
10.1,57.3,6.6,1.2,0.033,,,57,68.43011706,C
18,56.35,7.1,1.2,0.026,,,99,68.83078299,C
9.6,55.7,5.9,1.2,0.033,,,54,94.90957047,D
6.1,56.2,6.6,1.2,0.033,,,67,68.17207558,C
5.1,55.8,6.8,1.2,0.033,,,69,67.91165529,C
8.4,57,6.8,1.2,0.028,,,64,68.33437812,C
15.6,55.55,6.9,1.9,0.025,,,70,68.35519429,C
11,46.65,6.4,1.2,0.021,,,51,66.50918163,C
12.1,54.85,7,1.2,0.033,,,70,68.33545717,C
12.1,56.45,7,1.2,0.033,,,65,68.1472848,C
9.3,55.7,6.6,1.2,0.033,,,48,67.60421638,C
7.1,58.85,6.8,1.2,0.033,,,62,68.53645253,C
7.8,57.1,7.1,1.2,0.033,,,64,68.38717953,C
14.4,56.2,7.2,1.2,0.033,,,70,68.3544808,C
14.9,55.6,7,1.2,0.029,,,54,78.94585555,D
10.5,58.4,6.9,1.2,0.033,,,52,68.40001461,C
8.6,60.3,6.8,1.2,0.033,,,54,68.82576741,C
14.4,56.75,6.9,1.2,0.033,,,58,68.4359362,C
12.3,57.05,6.8,1.2,0.033,,,56,68.45951163,C
9.3,56.85,6.4,1.2,0.033,,,49,68.11829409,C
8.2,64.95,6.6,1.2,0.033,,,55,68.96643021,C
12,110,6.8,1.2,0.033,,,384,72.98839344,C
11.5,61,6.3,1.2,0.033,,,310,54.67006059,C
11,56,6,1.2,0.033,,,115,68.60801661,C
11.5,25,7.9,1.2,0.033,,,374,65.6048159,C
11,61,6.9,1.2,0.033,,,343,68.8313738,C
11.7,62,9.8,1.2,0.033,,,374,68.39062388,C
10.6,54.9,6.8,1.2,0.033,,,335,54.05248156,C
11.1,15,8.1,1.2,0.033,,,572,64.70004681,C
14.1,54.9,7.5,1.2,0.402,,,212,17.03644461,A
11.3,80,6.9,1.2,0.033,,,300,49.02529303,B
11.9,54,7,1.2,0.033,,,113,68.25173403,C
12.1,54.9,7.2,1.2,0.499,,,550,21.0624632,A
10.8,54.9,7.7,1.2,0.062,,,577,67.62968415,C
11.3,12,8,1.2,0.033,,,380,64.48659412,C
11.5,56,6.8,1.2,0.033,,,297,68.43526979,C
10.5,36,9.7,1.2,0.033,,,274,66.43734555,C
11,21,7,1.2,0.033,,,336,58.28990108,C
9.5,82,7.5,1.2,0.053,,,224,48.76552404,B
7.7,69,6.2,1.2,0.033,,,277,51.80294863,C
6.5,91,6,1.2,0.033,,,110,71.56974451,C
9.8,19,7.5,1.2,0.033,,,523,31.66293808,B
7.6,27,8.3,1.2,0.033,,,380,65.69507484,C
9.1,75,7.1,1.2,0.033,,,237,69.99313477,C
9.1,73,6.8,1.2,0.033,,,216,69.88124713,C
8.6,22,9.4,1.2,0.033,,,271,65.08733547,C
7.6,27,6.3,1.2,0.033,,,174,66.09488282,C
8.6,54.9,6.3,1.2,0.033,,,180,68.88370328,C
9.6,54.9,7.1,1.2,0.033,,,339,73.6320868,C
3.1,95,7.6,1.2,0.028,,,213,72.10971966,C
11,69,6.1,1.2,0.033,,,267,55.80244824,C
7.7,36,6.3,1.2,0.033,,,100,67.13203501,C
9.6,50.5,6.9,1.2,0.033,,,291,68.40108526,C
8.8,50,6.6,1.2,0.033,,,235,68.42426918,C
10.6,61,9.5,1.2,0.033,,,301,68.79863583,C
9.1,46,7.5,1.2,0.033,,,590,67.73190021,C
9.6,54,8.1,1.2,0.033,,,593,68.40958278,C
9.6,32,8,1.2,0.033,,,393,66.58984185,C
8.6,54.9,6.3,1.2,0.033,,,174,68.86488573,C
11.1,38,6,1.2,0.033,,,284,45.648564,B
10,53,6.5,1.2,0.033,,,112,68.61787139,C
11.3,0,7.4,1.2,0.033,,,517,56.7953745,C
11,45,6.6,1.2,0.033,,,263,67.95972909,C
11,41.5,6.5,1.2,0.033,,,217,67.5091928,C
10.3,18,9,1.2,0.033,,,281,65.24737467,C
10.4,54.9,6.2,1.2,0.033,,,155,68.87261102,C
10.1,54.9,6.9,1.2,0.033,,,336,72.32943631,C
13.2,48,7.4,1.2,0.033,,,230,69.66175075,C
11.1,28.5,6.4,1.2,0.033,,,288,51.9083854,C
11.2,33.5,6.3,1.2,0.033,,,122,67.07305476,C
13.4,54.9,7.2,1.2,0.169,,,545,41.19774743,B
11.1,0,7.9,1.2,0.033,,,402,63.89654236,C
11.2,37,6.6,1.2,0.033,,,275,70.43115809,C
12.4,46,6.5,1.2,0.033,,,213,67.73473361,C
10.2,15,9.1,1.2,0.033,,,294,64.82887942,C
11.8,1,6,1.2,0.033,,,163,64.20889986,C
10.4,54.9,6.9,1.2,0.033,,,354,61.04956979,C
12.9,41.5,7.4,1.2,0.267,,,234,47.16212127,B
11.1,28.3,6.2,1.2,0.033,,,290,41.21756024,B
11,34.4,6,1.2,0.033,,,112,66.78198299,C
10.3,8.9,7.3,1.2,0.028,,,602,43.43006591,B
10.8,0.7,7.7,1.2,0.033,,,666,47.90720679,B
9.2,0.1,7.9,1.2,0.033,,,445,63.94050607,C
9.1,37.35,6.7,1.2,0.033,,,317,67.31566777,C
10.1,40.05,6.4,1.2,0.033,,,299,67.59136049,C
9.6,13.35,9.1,1.2,0.033,,,320,64.85680005,C
9.4,0.5,6,1.2,0.033,,,184,64.33409611,C
9.5,0.4,6.8,1.2,0.033,,,390,55.24377009,C
11.1,34.4,6.2,1.2,0.033,,,290,43.51848517,B
8.7,41.3,6,1.2,0.033,,,114,67.75724129,C
9.4,15.55,7.5,1.2,0.033,,,537,40.20441,B
9.8,43.95,6.8,1.2,0.033,,,283,53.1392448,C
9.1,46.85,6.6,1.2,0.027,,,252,64.69006831,C
9.7,15.6,7.2,1.2,0.033,,,345,36.37101759,B
7.7,49.8,7.3,1.2,0.071,,,224,24.4523487,A
11.4,34.35,6.2,1.2,0.033,,,314,41.72825384,B
10.6,35,6.3,1.2,0.033,,,111,66.77668474,C
10.4,7.25,7.3,1.2,0.027,,,591,71.80700369,C
10.4,0.5,7.5,1.2,0.037,,,665,63.94399763,C
10.4,0.1,8,1.2,0.033,,,438,63.91716865,C
10.5,40,6.8,1.2,0.033,,,311,72.83157843,C
10.8,43.35,6.7,1.2,0.033,,,195,67.78760956,C
10.2,14.45,8.5,1.2,0.033,,,316,64.99270572,C
9.9,0.3,6,1.2,0.042,,,182,64.0111584,C
10.2,0.1,6.9,1.2,0.053,,,368,47.64349241,B
11.5,44.9,7.2,1.2,0.106,,,232,25.09273367,B
11.5,27.15,7.1,1.2,0.033,,,114,66.39789762,C
13,21,7.4,1.2,0.029,,,553,51.465793,C
12.9,19.35,7.8,1.2,0.033,,,617,29.80745639,B
13,19.35,7.8,1.2,0.033,,,420,53.04397389,C
11.3,38.85,6.7,1.2,0.033,,,285,67.19626158,C
12.2,31.55,6.5,1.2,0.033,,,219,66.80225252,C
11.3,12.2,8.4,1.2,0.033,,,313,64.79789284,C
11.3,38.85,6.7,1.2,0.033,,,285,67.19626158,C
11.5,0.2,6.1,1.2,0.033,,,193,63.50675402,C
11.5,0.2,6.8,1.2,0.033,,,380,56.97719071,C
10.2,28.95,6.2,1.2,0.033,,,119,66.28342367,C
11.3,28.8,6.7,1.2,0.033,,,294,48.74137876,B
10.3,0.5,7.1,1.2,0.033,,,571,64.03813331,C
10.2,0.4,7.2,1.2,0.033,,,580,63.62356643,C
10.2,0.5,7.4,1.2,0.033,,,400,63.96493738,C
10,38.4,7.1,1.2,0.033,,,282,72.57187588,C
8.7,43.55,7,1.2,0.033,,,232,67.70054482,C
10.1,14.15,7.4,1.2,0.033,,,303,65.06179424,C
9.8,0.3,6.6,1.2,0.202,,,187,30.82612491,B
9.1,0.4,6.2,1.2,0.033,,,199,64.26169161,C
9.7,0.3,6.8,1.2,0.033,,,363,49.77721029,B
7.1,5.65,7.3,1.2,0.033,,,174,64.1532258,C
11.2,29.4,6.3,1.2,0.033,,,291,32.3666218,B
8,39.15,6.6,1.2,0.033,,,121,67.07414479,C
9.6,6.7,7.5,1.2,0.033,,,564,64.34851152,C
9.5,7.25,7.5,1.2,0.033,,,582,68.05427329,C
9.5,0.2,7.8,1.2,0.033,,,407,63.92186966,C
9.7,39.5,7.3,1.2,0.033,,,297,67.35867967,C
8.1,45.85,7.1,1.2,0.033,,,193,67.93465454,C
10.1,0.9,8.3,1.2,0.033,,,312,63.89298592,C
7.8,0.6,7.2,1.2,0.033,,,204,64.1129697,C
9.2,0.2,7.3,1.2,0.033,,,375,55.13019135,C
7.6,43.1,7.1,1.2,0.033,,,205,66.63856493,C
5.3,51.25,7.7,1.2,0.038,,,217,68.15788157,C
11.3,31.65,6.4,1.2,0.033,,,285,41.86465809,B
11,32.15,7.2,1.2,0.033,,,546,66.72653913,C
11.3,13.3,7.7,1.2,0.033,,,356,72.17188249,C
11.8,0.7,7.6,1.2,0.133,,,356,62.05837177,C
11.4,0.7,7.7,1.2,0.033,,,356,63.94798663,C
11,39.4,7.1,1.2,0.033,,,356,74.46657244,C
10.7,46.1,6.4,1.2,0.033,,,356,68.02402526,C
11.5,12.25,8.4,1.2,0.033,,,356,64.78915893,C
10.5,0.6,6.1,1.2,0.026,,,356,64.40425434,C
10.6,0.8,7.1,1.2,0.033,,,356,55.14105698,C
13.3,52.45,7.6,1.2,0.033,,,356,37.80865551,B
11.2,31.6,6.2,1.2,0.033,,,292,45.51189493,B
11.5,28.85,6.1,1.2,0.033,,,111,66.72634461,C
11.1,0.2,7.4,1.2,0.035,,,585,67.52685077,C
11.1,0.2,7.7,1.2,0.033,,,407,63.53710837,C
10.7,33.3,6.9,1.2,0.033,,,311,66.90545659,C
11.9,52.6,6.4,1.2,0.033,,,184,68.64522366,C
10.5,19.45,8.5,1.2,0.033,,,306,65.43315038,C
11.2,0.2,6,1.2,0.033,,,203,64.28042236,C
10.6,0.4,7,1.2,0.033,,,370,49.81152288,B
9.4,56.25,7.4,1.2,0.033,,,230,70.43885034,C
10.1,46.2,5.9,1.2,0.032,,,105,78.94245851,D
10.9,15,7.7,1.2,0.033,,,587,66.96603352,C
11.6,0.2,7.3,1.2,0.043,,,552,63.44338309,C
11.7,0.3,7.7,1.2,0.033,,,407,78.23959643,D
11,41.6,7.1,1.2,0.033,,,300,83.5723461,D
11.3,46.6,6.4,1.2,0.033,,,208,68.06094608,C
10.8,25.7,8.5,1.2,0.033,,,297,64.97272194,C
10.7,0.6,6.2,1.2,0.26,,,244,60.0888421,C
10.3,0.4,5.8,1.2,0.033,,,226,64.33596153,C
10.5,0.4,7.1,1.2,0.033,,,412,51.52029291,C
12.6,49.8,7.5,1.2,0.033,,,217,56.94437604,C
11.3,37.15,6.3,1.2,0.033,,,315,51.28107221,C
11.4,38.8,5.9,1.2,0.033,,,111,83.40588562,D
13.2,0.1,7.2,1.2,0.02,,,541,73.13375591,C
11.7,0.2,7.6,1.2,0.024,,,588,58.65078439,C
11.6,0.2,7.8,1.2,0.033,,,408,63.89784006,C
11.2,33.8,7.3,1.2,0.033,,,326,66.72685699,C
11,18.3,8.3,1.2,0.033,,,299,40.07187094,B
11.6,0.2,6,1.2,0.23,,,213,60.7531866,C
10.9,0.2,7.1,1.2,0.033,,,400,45.78968954,B
9.8,51.2,7.7,1.2,0.022,,,211,28.85035199,B
11.3,27.75,6.1,1.2,0.033,,,286,46.99252973,B
11.1,32.75,6,1.2,0.033,,,105,77.79940671,D
10.9,0.6,7.2,1.2,0.13,,,551,78.39955104,D
10.5,0.6,7.8,1.2,0.033,,,403,63.55367881,C
10.5,42.8,6.8,1.2,0.033,,,265,67.325055,C
10.8,48,6.6,1.2,0.033,,,194,67.81065993,C
10.1,13.95,8.3,1.2,0.033,,,307,66.39125774,C
10.1,1.1,6,1.2,0.033,,,230,63.95690485,C
9.9,0.5,7.2,1.2,0.033,,,400,65.43567446,C
9.2,1,5.9,1.2,2,,,276,29.12056079,B
11.2,32.75,6.2,1.2,0.033,,,271,52.30650676,C
8.6,39.65,5.9,1.2,0.033,,,109,67.24793501,C
10.3,53.35,7,1.2,0.033,,,264,78.88930109,D
9.7,50.7,6.5,1.2,0.033,,,200,68.05710799,C
9,1.65,6,1.2,0.033,,,256,80.4688591,D
10,1.65,7.2,1.2,0.033,,,407,56.60302918,C
12.2,57.05,7.4,1.2,0.033,,,209,68.42196085,C
9.9,25.6,7.6,1.2,0.033,,,510,60.6027602,C
10,3.3,7.9,1.2,0.033,,,393,76.25688777,D
9.5,47.9,6.7,1.2,0.033,,,172,43.86249722,B
11.3,32.75,6.2,1.2,0.033,,,270,34.4546819,B
10,32.85,6,1.2,0.028,,,111,57.81615104,C
11.1,52.15,8.1,1.2,0.033,,,314,73.22070804,C
11.3,20.55,8.1,1.2,0.033,,,314,66.98410034,C
9.9,5,6.1,1.2,0.033,,,236,64.26488472,C
10.4,3.35,7.2,1.2,0.033,,,399,57.17944705,C
14.2,51.85,7.4,1.2,0.04,,,310,43.15030425,B
10.7,19.4,7.8,1.2,0.033,,,568,29.41502993,B
10.7,2.75,7.8,1.2,0.022,,,389,67.49838612,C
11.3,31.65,6.6,1.2,0.033,,,276,30.71688522,B
11.1,31.05,6.5,1.2,0.02,,,107,73.77866979,C
11.8,3.35,7.3,1.2,0.036,,,531,46.37477511,B
11,2.8,7.6,1.2,0.035,,,584,53.00472582,C
10.8,2.2,7.8,1.2,0.033,,,416,76.18102149,D
10.9,41.1,6.9,1.2,0.033,,,253,70.73381134,C
10.7,7.8,8.2,1.2,0.033,,,324,51.60499971,C
11,4.45,6,1.2,0.033,,,233,74.94882108,C
11.5,5.55,7.2,1.2,0.033,,,423,33.72296702,B
11.2,31,6.2,1.2,0.033,,,272,30.73774508,B
8.4,34.1,6.3,1.2,0.033,,,101,73.8454052,C
10.5,13.35,7.7,1.2,0.033,,,589,0.362201112,A
8,19.5,7.5,1.2,0.033,,,524,42.38251985,B
10.4,3.3,7.7,1.2,0.061,,,416,57.94293409,C
9.8,44.5,6.8,1.2,0.033,,,275,69.25339958,C
8.5,52.5,5.6,1.2,0.033,,,172,68.38298155,C
10.2,2.2,8,1.2,0.033,,,337,20.82034105,A
9,5.05,6.1,1.2,0.033,,,231,64.27203573,C
10,7.2,7.3,1.2,0.033,,,431,44.55672763,B
7.7,5.05,6.4,1.2,2,,,309,17.1775781,A
