Temperature,Dissolved Oxygen,pH,Bio-Chemical Oxygen Demand (mg/L),Nitrate (mg/ L),Faecal Coliform (MPN/ 100 mL),Total Coliform (MPN/ 100 mL),Conductivity (mho/ Cm),WQI,Potability
11.5,8.5,7.7,0.7,0.75,48,355,1317,261.0846822,E
17,9.85,8.2,0.1,0.16,23,195,1174,286.425,E
16,9.8,7.85,0.45,0.255,22,250,680,135.0744788,E
12,7.65,7.85,0.25,0.58,19.4,85.9,1364.5,270.4221597,E
19.75,9.05,8.3,0.25,0.1,27.5,225,279,55.73279407,C
20,9.7,8.3,0.25,0.15,35,260,143.5,28.95514187,B
10.35,8.7,7.9,0.7,0.55,25.5,163,752.5,149.4100527,E
10.35,8.75,7.65,0.6,0.55,32,217,745,147.918346,E
17.5,8.45,7.85,,3.1,235,785,402,80.32884309,D
18,8.4,7.65,,2.05,141.5,490,303.5,60.72754744,C
18,8.4,7.7,,4.45,125.5,455,235.5,47.49825901,B
19,8.5,7.7,1,6.35,224.5,610,291,58.71409555,C
19,8.1,7.8,1.3,1.2,356.5,735,260,52.12827035,C
18,5.2,8,3.5,,,,405,80.65530859,D
18,6.45,8.25,5.1,0.65,,,420,83.7904557,D
20.5,6.8,8.15,2.75,0.2,,,265,53.00542019,C
11,8.5,7.6,0.2,,,,160,32.12328853,B
11,8.7,7.65,0.15,,,,159,41.2,B
11,8.8,7.5,0.2,,,,154.55,31.4368034,B
11,8.1,7.75,1,,,,105.5,21.36861159,A
19,6.4,7.35,6.85,1.15,198.5,,600,119.4908923,E
20.5,7.1,8.05,0.95,,,,297,59.24824206,C
6.15,9.05,7.75,0.8,,,,140,28.19991171,B
6.25,9,7.7,0.9,,,,165,33.14664087,B
6,9.05,7.5,1.05,,,,142.5,28.69777674,B
8.4,8.9,7.9,0.85,,20,,132,26.62460044,B
8.75,8.8,7.7,1.1,,,,132.5,26.72654007,B
10.7,7.85,7.95,0.85,,,,275,54.88771498,C
10.75,8,7.9,1.1,,,,315.5,62.91211418,C
12.65,9.05,7.65,0.95,,485,,230.5,46.12013687,B
13.05,8.3,7.55,1.35,,,,235,47.00388749,B
12.7,8.75,7.5,0.85,,,,212,42.4443376,B
17.95,8.15,7.9,0.55,0.1,,,249.5,49.86496502,B
18.1,7.9,8.1,0.75,0.1,,,251.5,50.26739165,C
23,6.1,8.1,6.9,0.45,,,629,125.1851635,E
22,7.05,8.2,1.8,0.3,,,263,52.5918607,C
20.5,4.3,8.35,4.7,0.3,,,462.5,92.09607813,D
20.5,7.8,8.4,1.3,0.55,,,245.5,49.1557458,B
21,7.25,8.3,1.15,0.2,,,271,54.14413883,C
19.8,4.4,7.8,36.8,2.2,468.5,823.5,875,175.2479749,E
21,8.35,7.8,1.4,5.6,399,1260,338,67.98878969,C
15,6.95,7.8,0.2,0.75,3.4,55.9,331.5,66.08791313,C
15,6.95,7.7,0.25,0.9,30.9,70.9,920.5,182.6119173,E
16.25,7,7.65,0.2,0.85,3.9,60.9,323.5,64.51526296,C
16,6.7,7.55,0.2,0.6,3.95,65.9,333.5,66.45844787,C
15.5,6.9,7.6,0.2,0.55,3.9,70.9,354,70.51457833,C
